pm25,pm10,no2,so2,co,o3,AQI
120.0,107.2,54.0,18.0,31.0,22.0,291.9975053622494
120.0,108.8,58.0,20.0,31.0,12.0,288.54718010136304
120.0,112.2,57.0,19.0,30.0,12.0,287.8177958200044
120.0,122.6,55.0,19.0,25.0,3.0,287.5028963050941
120.0,132.6,54.0,13.0,24.0,1.0,290.6171999420385
120.0,143.0,64.0,17.0,18.0,1.0,290.86393774188963
120.0,156.4,78.0,20.0,21.0,13.0,286.92243049613216
112.8,168.0,85.0,14.0,8.0,27.0,281.42257596188097
112.8,172.0,62.0,6.0,4.0,4.0,276.24
78.96,161.0,63.5,9.5,9.0,22.5,276.24
112.8,150.0,65.0,13.0,14.0,41.0,276.24
112.8,146.6,77.0,14.0,19.0,17.0,280.24501652610934
120.0,146.6,82.0,18.0,21.0,20.0,284.0785864247334
120.0,146.6,76.0,18.0,20.0,29.0,284.07858642473343
112.8,161.6,84.0,19.0,18.0,32.0,280.0735698986241
112.8,176.6,78.0,13.0,16.0,18.0,276.24
78.96,176.4,75.0,12.0,9.0,37.0,276.24
112.8,172.8,83.0,15.0,16.0,15.0,276.24
112.8,172.8,83.0,13.0,16.0,29.0,282.1185650325065
120.0,172.8,80.0,13.0,14.0,30.0,286.63325519111476
120.0,172.8,81.0,16.0,16.0,22.0,289.3864762360176
120.0,176.4,88.0,12.0,16.0,21.0,287.5875942078594
120.0,179.4,85.0,11.0,12.0,34.0,285.81191764614954
120.0,179.4,83.0,13.0,10.0,20.0,288.5620346229354
120.0,178.06666666666666,87.0,9.0,6.0,11.0,287.17591535753746
120.0,176.73333333333335,95.0,12.0,8.0,20.0,290.5821865450908
120.0,171.06666666666666,94.0,18.0,13.0,18.5,285.078848523402
112.8,166.0,78.0,15.0,9.0,17.0,282.38528478445164
112.8,164.2,84.0,8.0,8.0,13.0,276.24
78.96,163.73333333333332,80.0,2.0,3.0,23.0,276.24
112.8,155.26666666666665,94.0,7.0,7.0,60.0,276.24
112.8,140.57333333333332,80.0,12.0,12.0,43.0,278.9860575422012
120.0,125.88,79.0,13.0,14.0,29.0,282.54991173857206
120.0,109.55999999999999,74.0,19.0,9.0,35.0,282.54991173857206
112.8,99.96000000000001,86.0,19.0,16.0,42.0,271.8838541963709
105.6,100.36,77.0,26.0,29.0,36.0,252.48000000000002
68.88,112.72,71.0,6.0,9.0,28.0,228.72000000000003
63.839999999999996,126.67999999999999,74.0,7.0,16.0,23.0,204.6266666666667
58.8,141.0,82.0,8.0,16.0,30.0,196.7066666666667
63.839999999999996,148.6,93.0,7.0,30.0,47.0,204.6266666666667
68.88,145.2,96.0,22.0,36.0,21.0,228.72000000000003
105.6,140.4,96.0,24.0,37.0,21.0,244.56000000000003
105.6,139.0,87.0,11.0,38.0,29.0,252.47999999999996
105.6,135.0,95.0,18.0,35.0,25.0,244.56000000000003
68.88,130.2,95.0,12.0,33.0,14.0,228.72000000000003
63.839999999999996,134.4,97.0,13.0,32.0,19.0,212.88000000000002
63.839999999999996,141.8,97.0,13.0,31.0,23.0,212.88000000000002
68.88,144.2,95.0,18.0,29.0,23.0,228.72000000000003
105.6,145.6,95.0,19.0,30.0,33.0,244.56000000000003
105.6,147.8,93.0,18.0,30.0,33.0,252.47999999999996
105.6,150.8,84.0,21.0,23.0,38.0,252.47999999999996
73.91999999999999,150.6,91.0,12.0,22.0,26.0,252.47999999999996
73.91999999999999,147.0,93.0,25.0,31.0,30.0,252.47999999999996
105.6,144.4,93.0,26.0,32.0,27.0,252.47999999999996
105.6,140.4,89.0,27.0,22.0,34.0,252.47999999999996
105.6,139.6,92.0,27.0,16.0,18.0,244.56000000000003
68.88,138.8,93.0,24.0,11.0,27.0,236.64000000000001
68.88,145.0,86.0,16.0,6.0,23.0,228.72000000000003
68.88,151.2,63.0,18.0,12.0,29.0,228.72000000000003
98.4,148.0,60.0,22.0,23.0,32.0,228.72000000000003
98.4,140.8,63.0,20.0,23.0,20.0,228.72000000000003
68.88,133.6,67.0,16.0,25.0,31.0,228.72000000000003
68.88,122.8,57.0,18.0,19.0,27.0,228.72000000000003
