date, pm25, pm10, o3, no2, co,location
2022-11-03,99,57,15,58,13,"Siddharth Nagar-Worli, Mumbai"
2022-11-04,111,59,25,52,9,"Siddharth Nagar-Worli, Mumbai"
2022-11-05,111,74,22,52,3,"Siddharth Nagar-Worli, Mumbai"
2022-11-06,133,72,29,52,3,"Siddharth Nagar-Worli, Mumbai"
2022-11-07,139,71,23,50,3,"Siddharth Nagar-Worli, Mumbai"
2022-11-08,139,79,27,49,4,"Siddharth Nagar-Worli, Mumbai"
2022-11-09,146,76,19,51,4,"Siddharth Nagar-Worli, Mumbai"
2022-11-10,142,68,19,49,2,"Siddharth Nagar-Worli, Mumbai"
2022-11-11,133,65,26,48,1,"Siddharth Nagar-Worli, Mumbai"
2022-11-12,129,68,35,45,1,"Siddharth Nagar-Worli, Mumbai"
2022-11-13,131,76,43,42,3,"Siddharth Nagar-Worli, Mumbai"
2022-11-14,147,89,39,21,5,"Siddharth Nagar-Worli, Mumbai"
2022-11-15,157,77,24,16,4,"Siddharth Nagar-Worli, Mumbai"
2022-11-16,141,70,22,15,1,"Siddharth Nagar-Worli, Mumbai"
2022-11-17,132,60,19,29,1,"Siddharth Nagar-Worli, Mumbai"
2022-11-18,115,59,25,33,1,"Siddharth Nagar-Worli, Mumbai"
2022-11-19,113,66,28,32,1,"Siddharth Nagar-Worli, Mumbai"
2022-11-20,127,61,38,34, ,"Siddharth Nagar-Worli, Mumbai"
2022-11-21,118,75,36,32,1,"Siddharth Nagar-Worli, Mumbai"
2022-11-22,142,80,40,35,3,"Siddharth Nagar-Worli, Mumbai"
2022-11-23,144,82,34,32,3,"Siddharth Nagar-Worli, Mumbai"
2022-11-24,156,87,24,35,4,"Siddharth Nagar-Worli, Mumbai"
2022-11-25,159,100,26,34,7,"Siddharth Nagar-Worli, Mumbai"
2022-11-26,171,95,33,34,6,"Siddharth Nagar-Worli, Mumbai"
2022-11-27,165,70,30,33,5,"Siddharth Nagar-Worli, Mumbai"
2022-11-28,142,68,28,32,3,"Siddharth Nagar-Worli, Mumbai"
2022-11-29,139,91,30,34,7,"Siddharth Nagar-Worli, Mumbai"
2022-11-30,165,86,35,33,4,"Siddharth Nagar-Worli, Mumbai"
2022-12-01,160,92,27,33,7,"Siddharth Nagar-Worli, Mumbai"
2022-12-02,162,84,27,31,4,"Siddharth Nagar-Worli, Mumbai"
2022-12-03,158,93,30,31,6,"Siddharth Nagar-Worli, Mumbai"
2022-12-04,162,94,9,30,8,"Siddharth Nagar-Worli, Mumbai"
2022-12-05,167,100, ,32,9,"Siddharth Nagar-Worli, Mumbai"
2022-12-06,171,97,26,31,9,"Siddharth Nagar-Worli, Mumbai"
2022-12-07,169,92,18,35,8,"Siddharth Nagar-Worli, Mumbai"
2022-12-08,164,69,25,33,3,"Siddharth Nagar-Worli, Mumbai"
2022-12-09,134,68,28,36,3,"Siddharth Nagar-Worli, Mumbai"
2022-12-10,135,76,26,33,5,"Siddharth Nagar-Worli, Mumbai"
2022-12-11,150,79,13,33,4,"Siddharth Nagar-Worli, Mumbai"
2022-12-12,138, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-12-14, ,36,21,11,4,"Siddharth Nagar-Worli, Mumbai"
2022-12-15,75,45,18,6,3,"Siddharth Nagar-Worli, Mumbai"
2022-12-16,90,33,18,9,3,"Siddharth Nagar-Worli, Mumbai"
2022-12-17,69,38,27,11,3,"Siddharth Nagar-Worli, Mumbai"
2022-12-18,73,27,33,11,2,"Siddharth Nagar-Worli, Mumbai"
2022-12-19,60,43,48,12,4,"Siddharth Nagar-Worli, Mumbai"
2022-12-20,85,87,40,12,7,"Siddharth Nagar-Worli, Mumbai"
2022-12-21,159,93,57,13,8,"Siddharth Nagar-Worli, Mumbai"
2022-12-22,163,100,37,13,7,"Siddharth Nagar-Worli, Mumbai"
2022-12-23,163,72,37,13,4,"Siddharth Nagar-Worli, Mumbai"
2022-12-24,134,89,32,13,5,"Siddharth Nagar-Worli, Mumbai"
2022-12-25,156,80,62,13,6,"Siddharth Nagar-Worli, Mumbai"
2022-12-26,150,100,60,13,7,"Siddharth Nagar-Worli, Mumbai"
2022-12-27,171,82,58,13,7,"Siddharth Nagar-Worli, Mumbai"
2022-12-28,155,92,43,14,9,"Siddharth Nagar-Worli, Mumbai"
2022-12-29,164,123,64,14,7,"Siddharth Nagar-Worli, Mumbai"
2022-12-30,179,69,36,13,5,"Siddharth Nagar-Worli, Mumbai"
2022-12-31,135,69,46,14,4,"Siddharth Nagar-Worli, Mumbai"
2023-01-01,121,71,57,13,5,"Siddharth Nagar-Worli, Mumbai"
2023-01-02,145,78,61,14,6,"Siddharth Nagar-Worli, Mumbai"
2023-01-03,150,75,39,14,6,"Siddharth Nagar-Worli, Mumbai"
2023-01-04,146,96,47,14,8,"Siddharth Nagar-Worli, Mumbai"
2023-01-05,167,91,36,14,8,"Siddharth Nagar-Worli, Mumbai"
2023-01-06,159,134,30,13,7,"Siddharth Nagar-Worli, Mumbai"
2023-01-07,173,75,19,12,6,"Siddharth Nagar-Worli, Mumbai"
2023-01-08,148,60,34,12,4,"Siddharth Nagar-Worli, Mumbai"
2023-01-09,120,65,69,12,4,"Siddharth Nagar-Worli, Mumbai"
2023-01-10,127,83,70,12,5,"Siddharth Nagar-Worli, Mumbai"
2023-01-11,144,63,52,12,3,"Siddharth Nagar-Worli, Mumbai"
2023-01-12,128,78,28,12,1,"Siddharth Nagar-Worli, Mumbai"
2023-01-13,140,84,53,12, ,"Siddharth Nagar-Worli, Mumbai"
2023-01-14,154,84,71,12,5,"Siddharth Nagar-Worli, Mumbai"
2023-01-15,157,83,82,12,6,"Siddharth Nagar-Worli, Mumbai"
